FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=4270257528/api=apps/v1/argocd/Deployment/argocd-redis-ha-haproxy,Medium,Automatic mapping of service account,1,1,0
path=1160362786/api=apps/v1//Deployment/productpage-v1,Medium,Ingress and Egress blocked,1,1,0
path=2637913039/api=apps/v1/flux-system/Deployment/credentials-sync,Medium,Ingress and Egress blocked,1,1,0
path=2494083754/api=apps/v1//Deployment/ratings-v1,Medium,Ingress and Egress blocked,1,1,0
path=1135931183/api=apps/v1/monitoring/Deployment/grafana,Medium,Ingress and Egress blocked,1,1,0
path=493626856/api=apps/v1/kong/Deployment/ingress-kong,Medium,Ingress and Egress blocked,1,1,0
path=3700058996/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1333051382/api=apps/v1/default/Deployment/longhorn-test-nfs,Medium,Ingress and Egress blocked,1,1,0
path=3806970578/api=apps/v1//Deployment/helloworld-v2,Medium,Ingress and Egress blocked,1,1,0
path=3046865609/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1228926501/api=/v1/flux-system/ServiceAccount/credentials-sync,Medium,Automatic mapping of service account,1,1,0
path=1628077576/api=/v1/argocd/ServiceAccount/argocd-redis-ha,Medium,Automatic mapping of service account,1,1,0
path=87062017/api=apps/v1/sock-shop/Deployment/shipping,Medium,Ingress and Egress blocked,1,1,0
path=1480955543/api=/v1/monitoring/ServiceAccount/node-exporter,Medium,Automatic mapping of service account,1,1,0
path=3605642397/api=/v1//ConfigMap/credentials-sync-eventhub,High,Applications credentials in configuration files,1,1,0
